Line No. 0: Token <STRING> Lexeme "asdf" found
Line No. 2: Token <STRING> Lexeme "qwert\
poiuy\
zxcvb" found
Line No. 6: Token <INT> Lexeme int found
Line No. 6: Token <IDENTIFIER> Lexeme main found
Line No. 6: Token <LPAREN> Lexeme ( found
Line No. 6: Token <RPAREN> Lexeme ) found
Line No. 6: Token <LCURL> Lexeme { found
Line No. 8: Token <IDENTIFIER> Lexeme a0 found
Line No. 8: Token <COMMA> Lexeme , found
Line No. 8: Token <IDENTIFIER> Lexeme bqw1 found
Line No. 8: Token <COMMA> Lexeme , found
Line No. 8: Token <CONST_INT> Lexeme 1 found
Line No. 8: Token <IDENTIFIER> Lexeme qw found
Line No. 8: Token <COMMA> Lexeme , found
Line No. 8: Token <IDENTIFIER> Lexeme __a0 found
Line No. 8: Token <COMMA> Lexeme , found
Line No. 8: Token <IDENTIFIER> Lexeme _a_1 found
Line No. 8: Token <SEMICOLON> Lexeme ; found
Line No. 9: Token <IF> Lexeme if found
Line No. 9: Token <LPAREN> Lexeme ( found
Line No. 9: Token <IDENTIFIER> Lexeme E found
Line No. 9: Token <RPAREN> Lexeme ) found
Line No. 9: Token <LCURL> Lexeme { found
Line No. 9: Token <IDENTIFIER> Lexeme S found
Line No. 9: Token <SEMICOLON> Lexeme ; found
Line No. 9: Token <IDENTIFIER> Lexeme a found
Line No. 9: Token <ADDOP> Lexeme + found
Line No. 9: Token <ASSIGNOP> Lexeme = found
Line No. 9: Token <CONST_INT> Lexeme 1 found
Line No. 9: Token <SEMICOLON> Lexeme ; found
Line No. 9: Token <IDENTIFIER> Lexeme a found
Line No. 9: Token <ADDOP> Lexeme - found
Line No. 9: Token <ASSIGNOP> Lexeme = found
Line No. 9: Token <CONST_INT> Lexeme 1 found
Line No. 9: Token <SEMICOLON> Lexeme ; found
Line No. 9: Token <IDENTIFIER> Lexeme a found
Line No. 9: Token <MULOP> Lexeme * found
Line No. 9: Token <ASSIGNOP> Lexeme = found
Line No. 9: Token <CONST_INT> Lexeme 1 found
Line No. 9: Token <SEMICOLON> Lexeme ; found
Line No. 9: Token <IDENTIFIER> Lexeme a found
Line No. 9: Token <MULOP> Lexeme / found
Line No. 9: Token <ASSIGNOP> Lexeme = found
Line No. 9: Token <CONST_INT> Lexeme 1 found
Line No. 9: Token <SEMICOLON> Lexeme ; found
Line No. 9: Token <IDENTIFIER> Lexeme a found
Line No. 9: Token <MULOP> Lexeme % found
Line No. 9: Token <ASSIGNOP> Lexeme = found
Line No. 9: Token <CONST_INT> Lexeme 2 found
Line No. 9: Token <SEMICOLON> Lexeme ; found
Line No. 9: Token <RCURL> Lexeme } found
Line No. 10: Token <ELSE> Lexeme else found
Line No. 10: Token <LCURL> Lexeme { found
Line No. 10: Token <IDENTIFIER> Lexeme s found
Line No. 10: Token <SEMICOLON> Lexeme ; found
Line No. 10: Token <RCURL> Lexeme } found
Line No. 11: Token <DO> Lexeme do found
Line No. 11: Token <LCURL> Lexeme { found
Line No. 11: Token <RCURL> Lexeme } found
Line No. 11: Token <WHILE> Lexeme while found
Line No. 11: Token <LPAREN> Lexeme ( found
Line No. 11: Token <CONST_INT> Lexeme 1 found
Line No. 11: Token <RPAREN> Lexeme ) found
Line No. 11: Token <SEMICOLON> Lexeme ; found
Line No. 12: Token <FOR> Lexeme for found
Line No. 12: Token <LPAREN> Lexeme ( found
Line No. 12: Token <INT> Lexeme int found
Line No. 12: Token <IDENTIFIER> Lexeme i found
Line No. 12: Token <ASSIGNOP> Lexeme = found
Line No. 12: Token <CONST_INT> Lexeme 0 found
Line No. 12: Token <SEMICOLON> Lexeme ; found
Line No. 12: Token <IDENTIFIER> Lexeme i found
Line No. 12: Token <RELOP> Lexeme < found
Line No. 12: Token <CONST_INT> Lexeme 10 found
Line No. 12: Token <SEMICOLON> Lexeme ; found
Line No. 12: Token <IDENTIFIER> Lexeme i found
Line No. 12: Token <INCOP> Lexeme ++ found
Line No. 12: Token <RPAREN> Lexeme ) found
Line No. 12: Token <LCURL> Lexeme { found
Line No. 13: Token <IDENTIFIER> Lexeme a found
Line No. 13: Token <RELOP> Lexeme == found
Line No. 13: Token <IDENTIFIER> Lexeme b found
Line No. 13: Token <SEMICOLON> Lexeme ; found
Line No. 14: Token <IDENTIFIER> Lexeme a found
Line No. 14: Token <RELOP> Lexeme <= found
Line No. 14: Token <IDENTIFIER> Lexeme b found
Line No. 14: Token <SEMICOLON> Lexeme ; found
Line No. 15: Token <IDENTIFIER> Lexeme a found
Line No. 15: Token <RELOP> Lexeme != found
Line No. 15: Token <IDENTIFIER> Lexeme b found
Line No. 15: Token <SEMICOLON> Lexeme ; found
Line No. 16: Token <RCURL> Lexeme } found
Line No. 17: Token <RETURN> Lexeme return found
Line No. 17: Token <CONST_INT> Lexeme 0 found
Line No. 17: Token <SEMICOLON> Lexeme ; found
Line No. 18: Token <RCURL> Lexeme } found
Line No. 20: Token <CONST_CHAR> Lexeme '\\' found
Line No. 21: Token <CONST_CHAR> Lexeme '\n' found
Line No. 22: Token <CONST_CHAR> Lexeme '\t' found
Line No. 23: Token <CONST_CHAR> Lexeme '\b' found
Line No. 24: Token <CONST_CHAR> Lexeme '\r' found
Line No. 25: Token <CONST_CHAR> Lexeme '\n' found
Line No. 26: Token <CONST_CHAR> Lexeme '\a' found
Line No. 27: Token <CONST_CHAR> Lexeme '\0' found
Line No. 28: Token <CONST_CHAR> Lexeme 'a' found
Line No. 29: Token <CONST_CHAR> Lexeme 'b' found
Line No. 30: Token <CONST_CHAR> Lexeme 'A' found
Line No. 31: Token <CONST_CHAR> Lexeme 'Z' found
Line No. 32: Token <CONST_CHAR> Lexeme '\"' found
